STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1036,CT372,01,3,6,3,303/DB,,CT372001,60,Mạng viễn thông,3,12**5678901234567***
1037,CT376,01,7,6,3,301/C1,,CT376001,60,Điện tử công nghiệp,3,12**5678901234567***
1038,CT377,01,6,3,3,303/MT,,CT377001,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1039,CT377,02,4,6,3,203/KH,,CT377002,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1040,CT377,03,6,6,3,104/B1,,CT377003,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1041,CT377,04,6,3,3,304/C1,,CT377004,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1042,CT377,05,5,6,3,203/KH,,CT377005,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1043,CT377,06,2,1,3,210/B1,,CT377006,90,Lý thuyết điều khiển tự động,3,12**5678901234567***
1044,CT378,01,4,1,2,209/B1,,CT378001,90,Cảm biến và chuyển năng,2,12**5678901234567***
1045,CT378,02,5,1,2,103/B1,,CT378002,90,Cảm biến và chuyển năng,2,12**5678901234567***
1046,CT380,01,6,3,3,101/KL,,CT380001,70,Kỹ thuật Robot,3,12**5678901234567***
1047,CT380,02,4,1,3,HTKHTN,,CT380002,70,Kỹ thuật Robot,3,12**5678901234567***
1048,CT381,01,6,1,2,301/CN,,CT381001,90,Điều khiển giám sát và thu thập dữ liệu,2,12**5678901234567***
1049,CT384,01,4,3,3,304/C1,,CT384001,80,Mạng nơ-ron nhân tạo,3,12**5678901234567***
1050,CT386,01,5,3,3,210/B1,,CT386001,60,Thông tin số,3,12**5678901234567***
1051,CT390,01,0,0,0,,,CT390001,120,TT. Viễn thông,1,12**5678901234567***
1052,CT391,01,6,3,3,104/B1,,CT391001,90,Cơ sở viễn thông,3,12**5678901234567***
1053,CT391,02,4,3,3,103/A3,,CT391002,80,Cơ sở viễn thông,3,12**5678901234567***
1054,CT394,01,0,0,0,,,CT394001,140,Chuyên đề Viễn thông,2,12**5678901234567***
1055,CT395,01,6,1,2,101/KL,,CT395001,70,Điện tử công suất và ứng dụng,2,12**5678901234567***
1056,CT395,02,2,1,2,105/A3,,CT395002,70,Điện tử công suất và ứng dụng,2,12**5678901234567***
1057,CT396,01,0,0,0,,,CT396001,150,TT. Điện tử công suất và ứng dụng,1,12**5678901234567***
1058,CT397,01,5,1,3,103/C2,,CT397001,60,Đo lường và điều khiển bằng máy tính,3,12**5678901234567***
1059,CT397,02,4,6,3,104/A3,,CT397002,60,Đo lường và điều khiển bằng máy tính,3,12**5678901234567***
1060,CT398,01,3,1,2,307/CN,,CT398001,80,Điều khiển mờ,2,12**5678901234567***
1061,CT399,01,4,3,3,105/A3,,CT399001,70,Hệ thống nhúng,3,12**5678901234567***
1062,CT400,01,0,0,0,,,CT400001,100,Chuyên đề kỹ thuật điều khiển,2,12**5678901234567***
1063,CT404,01,4,1,2,205/C2,,CT404001,60,Kỹ thuật phần cứng máy tính,2,12**5678901234567***
